Produttore	website	Nome	Tipo	Anno	cost_range	Velocità massima	acceleration	range	posti a sedere	porte	cargo_space	payload	power	peso	lunghezza	larghezza	altezza	turning_circle	tecnologgia della batteria	Tempo di ricarica	consumazione	varie
Pininfarina	http://www.pininfarina.com/	BLUECAR aka B0	micro	2010	unknown	130	11	250	5	5			50		3650	1720	1600		LMP	8		
Pininfarina	http://www.pininfarina.com/	NidoEV	concept	2010	not for sale	120	11.2	140	2	2			30	900	2890	1674	1534		Ni-NaCl	8		
Protoscar	http://www.protoscar.com/	Protoscar LAMP03	concept	2011	not for sale	220	4.5	220	2				420	1840	4687	1998	1307					
Protoscar	http://www.protoscar.com/	Protoscar Lampo2	concept	2009	not for sale	200	5	200	2	2			300	1580	4280	1880	1203		Lithium-Ion	12	0.1	
Pure Mobility	http://www.puremobility.com	Buddy	micro	2009	unknown	80		120	3	2	150	150	13	795	2440	1495	1460	4	NickelMetallHydrid	8		
Renault	http://www.renault.fr/	Fluence Z.E	limo	2012	25000	135	13.4	160	5	4	317	405	50	1535	4748	1813	1458			8		
Renault	http://www.renault.fr/	Kangoo Z.E	transporter	2012	10000	130		160	2	5	3000	595	44	1483	4213	1829	1805			6		
Renault	http://www.renault.fr/	Twizy Z.E	concept	2012	unknown			100	1	2			15	420	2303	1132	1476					
Renault	http://www.renault.fr/	Zoe Z.E	concept	2012	unknown	140	6.7	160		2			54	1400	4100	1840	1516					
Reva	http://www.revafrance.fr/	NXG	micro	2011	25000	130		200	2	2												
Reva	http://www.revafrance.fr/	Reva Li-ion	micro	2009	unknown	80		120														
Reva	http://www.revafrance.fr/	Reva NXR	micro	2011	10000	104		160	4	3			25	850	3280	1514	1460	3.9	LI-ion	8		
Rinspeed	http://www.rinspeed.com	Rinspeed UC	concept	2010	not for sale	120	8.2	105	2	2			30	980	2590	1627	1488		Lithium-Ionen Li-Tec		12	
Rolls Royce	http://www.rolls-roycemotorcars.com/	Electric Phantom	limo	2010	100000																	
S.A.M. Group AG	http://www.friends-of-sam.com	SAM	micro	2009	10000	90		100	2				11.6	500	3070	1580	1590		Lithium Polymer	5	0.08	
SABA	http://www.sabamotors.com/	Carbon Zero	sport	2010	unknown	168	5	220	2	2											112	
SAIC	http://www.saicgroup.com/English/index.shtml	Roewe 750	compact	2012	unknown	150		200	5	4									Li-Ion	8		
SEAT	http://www.seat.com/	SEAT IBE Concept Car	concept	2010	not for sale		9.4	128	4	2			75	1000	3780	1800	1220		Li-Ion			
Sim	http://www.sim-drive.com/	Luciole	micro	2013	10000			300	5													
SIMPLYCITY	http://www.simplycity.fr	SC Benne Basculante	transporter	0	unknown	80		50	2	2	1700		8	840	3480	1460	1700			7		
SIMPLYCITY	http://www.simplycity.fr	SC Fourgon	transporter	0	unknown	80		50	2	2	2050		8	795	3480	1460	1700			7		
SIMPLYCITY	http://www.simplycity.fr	SC Isotherme	transporter	0	unknown	80		50	2	2		550		840	3480	1460	1700			7		
SIMPLYCITY	http://www.simplycity.fr	SC Pick-up	transporter	0	unknown	80		50	2	2		550	8	800	3480	1460	1700			7		
SIMPLYCITY	http://www.simplycity.fr	SC SUN	recreational	0	unknown	80		50	4				8	734	3307	1493	1622			7	0	
SIMPLYCITY	http://www.simplycity.fr	SC Triporteur	special	0	unknown	25		35	1		500	200	3		2355	1255	1851			7		
Smart	http://www.smart.com/	Smart ForTwo electric drive	micro	2007	unknown	145	13	135	2	3	220	230	30	820	2695	1559	1542	8.75		4		
Smiles AG	http://www.smiles-world.de	CityEL	micro	1987	10000	63		120	1	1	300	120	2.5	260	2741	1060	1260	8.5	Lithium	10	0.09	
Smith Electric	http://www.smithelectric.com	Edison	transporter	2007	unknown	80		180				2300	90	4600	6430	2492	2629			6		
Smith Electric	http://www.smithelectric.com	Newton	truck	2006	unknown	80		240				7400	120	12000						8		
Star Electric Vehicles	http://www.starelectricvehicles.com	STAR-B48	bus	0	unknown	40			14													
Star Electric Vehicles	http://www.starelectricvehicles.com	STAR-BN96	bus	0	unknown	40			14													
Star Electric Vehicles	http://www.starelectricvehicles.com	STAR-LSV (NEV)	recreational	0	unknown	40			6													
Star Electric Vehicles	http://www.starelectricvehicles.com	STAR48	recreational	0	unknown	40			2													
Subaru	http://www.subaru.com/	R1e	micro	0	unknown	104		80	2										Li-Ion			
Subaru	http://www.subaru.com/	Stella EV	micro	2009	25000	140		80		4			47	1.1					5			
Tazzari	http://www.tazzari-zero.com/	Tazzari Zero	micro	0	25000	100		140	2	2	180	150	15	542	2880	1560	1425		Li-ion Fe	9		
TE	http://www.torontoelectric.com/	Project Eve	concept	0	unknown	100		208					49						lithium--ion			
Tesla Motors	http://www.teslamotors.com	2010 Tesla Roadster	sport	2010	100000	201	3.9	395	2	2			215	1238	3946	1851	1126.5		lithium-ion	3.5		
Tesla Motors	http://www.teslamotors.com	Model X	standard	2012	unknown		4.4	482	7	4												
Tesla Motors	http://www.teslamotors.com	Tesla Model S	standard	2012	50000	192	5.6	480	5	5										0.75		
THEKPV	NULL	THEKPV	recreational	2010	zero	35			1											1		
Think	http://www.thinkev.com/	THINK City	micro	2011	25000	100	16	160	2	3		194	30	1038	3143	1596	1658	4.5	Li-ion	10		
Tilter - SynergEthic	http://www.tilter.eu	Tilter	micro	2011	10000	110	13.3	120	1	1	220	100	15	340	2530	900	1650	8	2 Moteur-roues AR	6	65	
Toyota	http://www.toyota.com/	FT-EV II Concept	concept	2010	not for sale	100		90	2	2					2730	1680	1490		lithium-ion			
Toyota	http://www.toyota.com/	RAV4 EV	offroader	2012	25000		7	160			2067			1829								
Trabant	http://www.trabant-nt.de	Trabant nT	concept	2009	not for sale	130		160	5			400	47	1050	3950	1690	1500		Lion	2		Solar Panel
Volkswagen	http://www.vw.com	E-Bugster Concept	concept	2012	not for sale		10.9	180	2				85							0.59		
Volkswagen	http://www.vw.com	E-Up	micro	2013	unknown	140	11	85		2			60	1085	3200				lithium-ion	5		
Volvo	http://www.volvocars.com	Volvo C30 electric BEV	concept	0	unknown	130	11	150		3		75	80	1346	4266	1782	1447	11.1	lithium-ion			
Wheego	http://wheego.net	Wheego Whip	micro	2011	25000	104		160	2			365	8.5	1333	3010	1605	1600			0		
Wrightspeed	http://wrightspeed.com/	X1 Prototype	concept	0	unknown	166	2.9	160						770					Lithium-Ion		125	
Zap	http://www.zapworld.com	Xebra Electric Sedan	micro	2006	10000	65		40	4			900		1400	2900	661	777		Lead Acid			
Zap	http://www.zapworld.com	Xebra Electric Truck	transporter	2006	10000	64		40	2	2		900		1400	2900	661	777		Lead Acid			
Zap	http://www.zapworld.com	Xebra Xero Solar Panel	transporter	2006	unknown	64		40				136			3048	1524	1550					
Zap	http://www.zapworld.com	Zap Alias	sport	2009	25000	120	8	160	2	2									Lithium-Ion			
Zap	http://www.zapworld.com	ZAPTRUCK XL	transporter	0	unknown	40		48					6		4038	1524	1841	4.5	Lead-Acid	12		
Zap	http://www.zapworld.com	ZAPVAN SHUTTLE	van	0	10000	40		48	5	5	3058	322	6	1144	3505	1372	1195	4.6	Lead-acid	12		
ZEV Motors	http://www.zev.ee	ATV ZA-211	recreational	0	10000	25		20				75	0.45	46	1160	680	820			8		
ZEV Motors	http://www.zev.ee	ATV ZA-213	recreational	0	10000	20		18	1	0		85	0.8							6		
ZEV Motors	http://www.zev.ee	ZEV 1	micro	0	5000	45		100	2				4.2	700	3070	1310	1300	4	12V DC	8		
ZEV Motors	http://www.zev.ee	ZEV MiniVan 15090	van	0	10000	90		150	7				30		3795	1560	1925		12V DC			
ZEV Motors	http://www.zev.ee	ZEV Seven	sport	2010	unknown	120		100	2				14						12V DC	8		
ZEV Motors	http://www.zev.ee	ZEV Smiley	micro	2007	5000	55		130	2				6.5	936	2608	1515	1526	4.6	12V DC	8		
ZEV Motors	http://www.zev.ee	ZEV Smiley 4	micro	0	10000	75		100					6.5						12V DC	8		
ZEV Motors	http://www.zev.ee	ZEV ZT1510 Li	offroader	0	25000	100		150	5			400	30	1290	3900	1515	1670	4.7	12V DC	8		
