NOME,INDIRIZZO,CIVICO,CITTA' ,PROVINCIA,CAP,SITO INTERNET,TELEFONO,FAX,LATITUDINE,LONGITUDINE,MODELLI VENDUTI
ANTARES - S.C.A. S.r.l.,VIA LAVAGNA,1/A,PARMA,PR,43100,http://it.smart.com/is-bin/INTERSHOP.enfinity/WFS/mpc-it-content-Site/it_IT/-/EUR/Smart_DealerLocator-ViewSmartCenter?sCCode=5587,0521/901590,0521/983991,44.78467,10.29339,SMART ED
MORINI CARS,VIA EMILIA,295,SAN LAZZARO DI SAVENA,BO,40068,http://www.morinicars.nissan.it/,051/4992511,0516256592,44.46335,11.42751,NISSAN LEAF
PELLONI AUTO S.P.A.,VIA DON LORENZO MILANO,89,MODENA,MO,41100,http://pelloniauto.nissan.it/,059/250396,059/260503,44.65855,10.96832,NISSAN LEAF
PELLONI AUTO S.P.A.,VIA NONANTOLANA,980,MODENA,MO,41100,http://pelloniauto.nissan.it/,059/250396,059/260503,44.66045,10.96681,NISSAN LEAF
AUTO PO S.R.L.,VIA TRAVERSAGNO,49,FERRARA,FE,44100,http://www.autopo.nissan.it/,0532/54545,0532/773127,44.85252,11.58308,NISSAN LEAF
PELLONI AUTO S.P.A.,CIRCONVALLAZIONE NORD EST,114,SASSUOLO,MO,41049,http://pelloniauto.nissan.it/,0536/812075,0536/888472,44.54817,10.79702,NISSAN LEAF
PELLONI AUTO S.P.A.,VIA VASCO DE GAMA,22,CARPI,MO,41012,http://pelloniauto.nissan.it/,059/643860,059/643860,44.78388,10.87966,NISSAN LEAF
KENDO MOTORS S.R.L.,VIA G.B. VICO,10/D,REGGIO EMILIA,RE,42100,http://www.kendomotors.nissan.it/,0522/930055,0522/381290,44.72227,10.56284,NISSAN LEAF
COMAC S.R.L.,VIA ANDREA COSTA,51,FORLÌ,FC,47100,http://comac.nissan.it/,0543/405045,0543/405038,44.22066,12.05702,NISSAN LEAF
DESTAUTO S.P.A.,VIA FAENTINA,173,RAVENNA,RA,48100,http://destauto.nissan.it/,0544/500850,0544/500819,44.42129,12.15550,NISSAN LEAF
CAREBO,VIA ALFREDO TASSI,1/A,PARMA,PR,43100,,0521/247511,0521/247519,44.78634,10.37891,NISSAN LEAF
PIRACCINI,VIA ITALIA,24,RIMINI,RN,47900,http://piraccini.nissan.it/,0541/358811,0541/358886,44.06471,12.53757,NISSAN LEAF
